NAME,B08006_001E,B08006_017E,B28002_001E,B28002_004E,B19013_001E,B23025_003E,B23025_005E,B01003_001E,C24030_001E,C24030_013E,C24030_040E,C24030_015E,C24030_042E,C24030_018E,C24030_045E,C24030_019E,C24030_046E,state,county,year
"Brantley County, Georgia",6270.0,128.0,6625,4811,38211.0,6651.0,315.0,18072,6336.0,62.0,41.0,45.0,236.0,47.0,19.0,0.0,0.0,13,025,2021
"Brooks County, Georgia",6485.0,232.0,6004,3821,39770.0,7100.0,504.0,16254,6596.0,15.0,39.0,123.0,101.0,27.0,89.0,0.0,0.0,13,027,2021
"Bryan County, Georgia",20348.0,1067.0,14796,13197,81032.0,20389.0,1283.0,43278,19106.0,245.0,52.0,283.0,451.0,594.0,442.0,0.0,19.0,13,029,2021
"Bulloch County, Georgia",34007.0,2064.0,28917,24033,50583.0,38496.0,3489.0,79635,35007.0,258.0,118.0,473.0,486.0,614.0,653.0,0.0,38.0,13,031,2021
"Burke County, Georgia",10266.0,808.0,8742,7044,47837.0,11069.0,625.0,24231,10444.0,7.0,13.0,12.0,276.0,402.0,86.0,0.0,0.0,13,033,2021
"Butts County, Georgia",9420.0,666.0,8440,6639,53613.0,10121.0,485.0,24950,9636.0,38.0,42.0,207.0,202.0,358.0,295.0,6.0,0.0,13,035,2021
"Calhoun County, Georgia",1393.0,117.0,1457,1041,43549.0,1659.0,250.0,5668,1409.0,0.0,0.0,16.0,7.0,34.0,0.0,0.0,16.0,13,037,2021
"Camden County, Georgia",25709.0,2081.0,20032,17717,61636.0,23329.0,1069.0,54256,22260.0,527.0,119.0,147.0,539.0,549.0,404.0,0.0,0.0,13,039,2021
"Candler County, Georgia",4322.0,131.0,4034,3028,36763.0,4628.0,267.0,10885,4361.0,23.0,28.0,33.0,62.0,57.0,26.0,0.0,0.0,13,043,2021
"Carroll County, Georgia",53557.0,3347.0,42635,36872,62498.0,58441.0,3548.0,118402,54893.0,611.0,157.0,435.0,1276.0,911.0,1255.0,2.0,33.0,13,045,2021
"Catoosa County, Georgia",31854.0,1677.0,25450,22036,62669.0,33498.0,1175.0,67579,32323.0,257.0,141.0,337.0,1177.0,629.0,795.0,35.0,12.0,13,047,2021
"Charlton County, Georgia",4669.0,160.0,3960,2851,45494.0,5291.0,587.0,12416,4704.0,0.0,47.0,0.0,50.0,95.0,83.0,20.0,0.0,13,049,2021
"Chatham County, Georgia",141835.0,9727.0,115403,103112,61064.0,151500.0,10724.0,294815,140776.0,1332.0,1016.0,1722.0,2404.0,4452.0,4398.0,185.0,93.0,13,051,2021
"Chattahoochee County, Georgia",5889.0,399.0,2404,1989,50018.0,1758.0,205.0,9533,1553.0,0.0,0.0,38.0,35.0,40.0,21.0,0.0,0.0,13,053,2021
"Chattooga County, Georgia",9026.0,204.0,9189,6795,37946.0,9613.0,312.0,24898,9301.0,67.0,54.0,14.0,265.0,8.0,170.0,0.0,0.0,13,055,2021
"Cherokee County, Georgia",133249.0,20510.0,94208,88439,90681.0,141020.0,5746.0,262155,135274.0,2324.0,1310.0,3621.0,3621.0,7786.0,5863.0,301.0,58.0,13,057,2021
"Clarke County, Georgia",60985.0,6127.0,52352,46439,44070.0,65987.0,3675.0,128195,62312.0,297.0,565.0,485.0,686.0,2350.0,1765.0,8.0,0.0,13,059,2021
"Clay County, Georgia",1143.0,26.0,1286,976,35893.0,1213.0,58.0,2883,1155.0,0.0,0.0,4.0,12.0,0.0,8.0,0.0,0.0,13,061,2021
"Clayton County, Georgia",132709.0,7491.0,103399,88003,51945.0,146605.0,10210.0,294335,136395.0,1037.0,977.0,989.0,2969.0,2686.0,2749.0,54.0,32.0,13,063,2021
"Clinch County, Georgia",2271.0,16.0,2361,1301,47750.0,2395.0,123.0,6737,2272.0,0.0,0.0,49.0,34.0,6.0,19.0,0.0,1.0,13,065,2021
"Cobb County, Georgia",394381.0,60534.0,287426,272018,86013.0,422735.0,20806.0,762500,401929.0,7059.0,4700.0,11173.0,12691.0,29308.0,22908.0,715.0,462.0,13,067,2021
"Coffee County, Georgia",17376.0,273.0,14934,11402,44450.0,18244.0,760.0,43048,17484.0,16.0,44.0,167.0,319.0,37.0,294.0,33.0,26.0,13,069,2021
"Colquitt County, Georgia",18739.0,464.0,16219,11943,41623.0,20531.0,1420.0,45800,19111.0,61.0,32.0,222.0,169.0,116.0,311.0,0.0,0.0,13,071,2021
"Columbia County, Georgia",73649.0,4463.0,47597,42272,85928.0,74972.0,3914.0,154274,71058.0,941.0,447.0,819.0,1776.0,3704.0,2070.0,15.0,13.0,13,073,2021
"Cook County, Georgia",7594.0,145.0,6056,4304,45702.0,7845.0,416.0,17188,7429.0,17.0,9.0,77.0,89.0,196.0,153.0,0.0,0.0,13,075,2021
"Coweta County, Georgia",71327.0,6326.0,53405,47788,83486.0,74998.0,2571.0,144928,72427.0,1147.0,298.0,1106.0,1455.0,2263.0,1902.0,54.0,59.0,13,077,2021
"Crawford County, Georgia",4714.0,329.0,4283,3238,53132.0,5306.0,518.0,12159,4788.0,0.0,34.0,11.0,83.0,104.0,106.0,0.0,0.0,13,079,2021
"Crisp County, Georgia",8004.0,378.0,7651,5216,41605.0,9172.0,892.0,20524,8280.0,23.0,5.0,43.0,160.0,68.0,62.0,0.0,0.0,13,081,2021
"Dade County, Georgia",6917.0,441.0,6142,5065,47675.0,7411.0,350.0,16313,7061.0,3.0,7.0,48.0,264.0,115.0,24.0,0.0,0.0,13,083,2021
"Dawson County, Georgia",12573.0,1142.0,9776,8850,77630.0,13538.0,785.0,26202,12753.0,359.0,79.0,220.0,211.0,502.0,511.0,28.0,19.0,13,085,2021
"Decatur County, Georgia",11262.0,202.0,10242,6701,45134.0,12128.0,689.0,29020,11439.0,125.0,50.0,148.0,237.0,169.0,108.0,0.0,35.0,13,087,2021
"DeKalb County, Georgia",378700.0,53631.0,286068,256312,69423.0,416271.0,27858.0,758634,388413.0,8528.0,5410.0,8235.0,10137.0,25079.0,20445.0,486.0,269.0,13,089,2021
"Dodge County, Georgia",7447.0,187.0,6569,4292,41362.0,7886.0,333.0,20089,7553.0,55.0,33.0,45.0,184.0,38.0,67.0,0.0,0.0,13,091,2021
"Dooly County, Georgia",3927.0,193.0,3888,2398,39641.0,4426.0,441.0,11546,3985.0,12.0,2.0,7.0,79.0,27.0,90.0,0.0,0.0,13,093,2021
"Dougherty County, Georgia",34037.0,1658.0,34338,26906,42225.0,38398.0,3792.0,86825,34606.0,269.0,248.0,243.0,746.0,760.0,684.0,0.0,0.0,13,095,2021
"Douglas County, Georgia",67361.0,6402.0,50188,44256,67731.0,73174.0,4869.0,143520,68305.0,1041.0,586.0,741.0,1625.0,1890.0,2099.0,113.0,155.0,13,097,2021
"Early County, Georgia",4008.0,114.0,4034,2247,39665.0,4433.0,365.0,10813,4068.0,8.0,19.0,26.0,63.0,25.0,52.0,0.0,0.0,13,099,2021
"Echols County, Georgia",1520.0,29.0,1327,673,45151.0,1599.0,63.0,3691,1536.0,0.0,0.0,0.0,8.0,9.0,5.0,0.0,0.0,13,101,2021
"Effingham County, Georgia",29696.0,1014.0,22313,17660,72279.0,31398.0,1636.0,63448,29762.0,140.0,53.0,385.0,473.0,531.0,721.0,0.0,8.0,13,103,2021
"Elbert County, Georgia",8158.0,552.0,7773,5215,39904.0,8946.0,681.0,19453,8265.0,21.0,10.0,41.0,57.0,89.0,76.0,14.0,0.0,13,105,2021
"Emanuel County, Georgia",8255.0,455.0,8245,6477,42880.0,9509.0,898.0,22739,8611.0,43.0,6.0,16.0,76.0,138.0,304.0,0.0,0.0,13,107,2021
"Evans County, Georgia",4259.0,131.0,3886,2923,49325.0,4841.0,395.0,10761,4446.0,55.0,20.0,13.0,17.0,29.0,49.0,0.0,7.0,13,109,2021
"Fannin County, Georgia",9697.0,854.0,11188,9490,49810.0,10502.0,536.0,25198,9966.0,42.0,69.0,31.0,237.0,278.0,268.0,0.0,32.0,13,111,2021
"Fayette County, Georgia",54037.0,6986.0,42351,39344,96084.0,57386.0,2375.0,117828,55011.0,936.0,597.0,1026.0,1222.0,2438.0,1998.0,99.0,85.0,13,113,2021
"Floyd County, Georgia",41837.0,1968.0,35859,30131,52388.0,44901.0,2082.0,98210,42819.0,213.0,377.0,421.0,301.0,552.0,794.0,5.0,0.0,13,115,2021
"Forsyth County, Georgia",123475.0,26907.0,82293,79294,120999.0,130450.0,4774.0,245754,125676.0,3663.0,1964.0,5334.0,4321.0,12379.0,6669.0,227.0,155.0,13,117,2021
"Franklin County, Georgia",9606.0,802.0,8346,6400,49636.0,10300.0,571.0,23256,9729.0,69.0,95.0,74.0,157.0,80.0,57.0,0.0,0.0,13,119,2021
"Fulton County, Georgia",543677.0,99050.0,441958,399446,77635.0,585142.0,32148.0,1054286,552994.0,12756.0,9412.0,18104.0,16357.0,54558.0,35123.0,1055.0,540.0,13,121,2021
"Gilmer County, Georgia",12554.0,728.0,12648,10613,60504.0,13297.0,447.0,31047,12850.0,273.0,114.0,155.0,131.0,305.0,226.0,0.0,0.0,13,123,2021
